seed,method,attack,accepted,commit_delta,audit_delta,operational_harm,declared_harm,harmful_escape,declared_harmful_escape,beneficial,false_rejection,before_balanced_accuracy,candidate_balanced_accuracy,installed_balanced_accuracy,receipt_decision,receipt_delta,receipt_hash,append_succeeded,append_attempts,append_successes,installed_candidate,installed_model_version,serving_bytes_verified,risk_consumed,probe_consumed,competing_fixation_blocked,witness_faults_injected,witness_signatures,witness_threshold,witness_quorum_met,event_chain_valid,protocol_event_count,catalog_leaves,certificate_issue_ms,protocol_e2e_ms
0,Krum,model_replacement,0,0.010269152374421053,0.008246969660875,0,0,0,0,0,0,0.5322646404744255,0.5983753397578453,0.5322646404744255,reject,0.010269152374421053,4057132f8217c187a63b425cece44983bfbb96faad3d076e15b6ee0b748f36c7,1,1,1,0,0,1,1,1,1,1,3,3,1,1,9,1,2159.460117,4112.222337
0,FLTrust,model_replacement,1,-0.0003971570199736842,-3.5791649775e-05,0,0,0,0,1,0,0.5322646404744255,0.5212503088707685,0.5212503088707685,commit,-0.0003971570199736842,ec9e059bb9ea9466e220a671b6cd2b0e99f9310b81d38f2af49e2718d9f555cc,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2134.678764,4192.55742
0,FedVal,model_replacement,0,0.015151463786921053,0.015463253310475,0,0,0,0,0,0,0.5322646404744255,0.5111131702495676,0.5322646404744255,reject,0.015151463786921053,da1e1bc04eae31b3af0f4495e505dba89559e4671226a826f5033541c5a551bc,1,1,1,0,0,1,1,1,1,1,3,3,1,1,9,1,2181.518335,4211.044584
0,FLShield,model_replacement,1,-0.0018172500664473685,-0.001729961470425,0,0,0,0,1,0,0.5322646404744255,0.5168396342970102,0.5168396342970102,commit,-0.0018172500664473685,79ea49e3712007660bb98c71a25443ff786abb901cb51a2089e5dbfafd655e60,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2160.31185,4122.839046
1,FedAvg,none,1,-0.0015086270227368422,8.821140525e-05,0,0,0,0,0,0,0.5016005432146667,0.49990992613943436,0.49990992613943436,commit,-0.0015086270227368422,84ba39522d76d4253bf1da4086b7d15bb709681d589f0329eafe194912d4d168,1,2,2,1,1,1,1,1,1,1,3,3,1,1,9,1,2277.038403,5173.503459
1,CoordinateMedian,none,1,-0.0038025279254736842,-0.005700490956775,0,0,0,0,1,0,0.5016005432146667,0.5024458517522831,0.5024458517522831,commit,-0.0038025279254736842,3e9d8cc1654ff1b77fafd527e3341aca4577b73ea59d5f4858cd727564b5cc69,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2202.501501,4318.884918
1,Krum,none,1,-0.008078235620026316,-0.0038257041028,0,0,0,0,1,0,0.5016005432146667,0.5041364688275155,0.5041364688275155,commit,-0.008078235620026316,b468d82b113380b16f7e194908305706f166b9692cf78e07de7e5484ee04b375,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2239.969344,4336.153656
1,FLTrust,none,0,0.00046484172760526317,0.000232534444075,0,0,0,0,0,0,0.5016005432146667,0.5011778889458587,0.5016005432146667,reject,0.00046484172760526317,9735e20a78e2f65e455d613e0638eb8dc161fed7cee6a3bac934cfb80413ea52,1,1,1,0,0,1,1,1,1,1,3,3,1,1,9,1,2187.031871,4341.842674
1,FedVal,none,1,-0.007175153125,0.000944794341075,0,0,0,0,0,0,0.5016005432146667,0.5032911602898993,0.5032911602898993,commit,-0.007175153125,efc714b54ebd678f4df4797e0520c77069fe647dec517740485d1a3fe63bd777,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2214.328897,4319.971045
1,FLShield,none,1,-0.00550378061431579,0.00443006694535,0,0,0,0,0,0,0.5016005432146667,0.5011778889458587,0.5011778889458587,commit,-0.00550378061431579,321796184a656cbcff9774e227137ced000d5c8fa979d4e8f56f4722f4944ef8,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2233.951015,4243.243557
1,FedAvg,sign_flip,1,-0.006568508980447368,0.001040214280875,0,0,0,0,0,0,0.5016005432146667,0.503124870085778,0.503124870085778,commit,-0.006568508980447368,cde35b8454ce0822a1c084661960d716a55dee4868ea0d9a99f1efc2dbbe73b5,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2237.423469,4259.211428
1,CoordinateMedian,sign_flip,1,-0.007598176055894737,-0.0060128508936,0,0,0,0,1,0,0.5016005432146667,0.5087856657844048,0.5087856657844048,commit,-0.007598176055894737,beee1d678e158ce78991c7fd59b5d5e14d1fc95e7359f597b86a8ade7e5aba3b,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2237.549062,4240.361663
