split,method,attack,seeds,accepted_mean,accepted_lower95,accepted_upper95,operational_harm_mean,operational_harm_lower95,operational_harm_upper95,declared_harm_mean,declared_harm_lower95,declared_harm_upper95,harmful_escape_mean,harmful_escape_lower95,harmful_escape_upper95,population_harm_mean,population_harm_lower95,population_harm_upper95,population_escape_mean,population_escape_lower95,population_escape_upper95,score_gate_accepted_mean,score_gate_accepted_lower95,score_gate_accepted_upper95,score_gate_escape_mean,score_gate_escape_lower95,score_gate_escape_upper95,score_gate_population_escape_mean,score_gate_population_escape_lower95,score_gate_population_escape_upper95,declared_harmful_escape_mean,declared_harmful_escape_lower95,declared_harmful_escape_upper95,false_rejection_mean,false_rejection_lower95,false_rejection_upper95,candidate_balanced_accuracy_mean,candidate_balanced_accuracy_lower95,candidate_balanced_accuracy_upper95,installed_balanced_accuracy_mean,installed_balanced_accuracy_lower95,installed_balanced_accuracy_upper95,paired_accuracy_gain_mean,paired_accuracy_gain_lower95,paired_accuracy_gain_upper95,paired_audit_risk_reduction_mean,paired_audit_risk_reduction_lower95,paired_audit_risk_reduction_upper95,append_succeeded_mean,append_succeeded_lower95,append_succeeded_upper95,serving_bytes_verified_mean,serving_bytes_verified_lower95,serving_bytes_verified_upper95,risk_consumed_mean,risk_consumed_lower95,risk_consumed_upper95,probe_consumed_mean,probe_consumed_lower95,probe_consumed_upper95,competing_fixation_blocked_mean,competing_fixation_blocked_lower95,competing_fixation_blocked_upper95,eligible_subset_blocked_mean,eligible_subset_blocked_lower95,eligible_subset_blocked_upper95,witness_quorum_met_mean,witness_quorum_met_lower95,witness_quorum_met_upper95,event_chain_valid_mean,event_chain_valid_lower95,event_chain_valid_upper95,certificate_issue_ms_mean,certificate_issue_ms_lower95,certificate_issue_ms_upper95,protocol_e2e_ms_mean,protocol_e2e_ms_lower95,protocol_e2e_ms_upper95,certificate_issue_ms_p50,certificate_issue_ms_p95,protocol_e2e_ms_p50,protocol_e2e_ms_p95,beneficial_cases,conditional_false_rejection_rate
random,CoordinateMedian,model_replacement,20,0.75,0.5312949900419365,0.888139947210597,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.8,0.5839782779742401,0.9193436467288,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.1,0.027865893984153206,0.30103820641179335,0.5140087369595583,0.4999123324256627,0.5281051414934539,0.5139154724686926,0.49934891635154743,0.5284820285858378,-9.32644908655661e-05,-0.006960217574256363,0.006773688592525231,-0.00028912881791,-0.001745103749175888,0.001166846113355888,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2081.7136048999996,2006.4984427118543,2156.928767088145,4292.3366643,4161.569047689535,4423.104280910465,2073.3006130000003,2336.00263085,4299.383857999999,4817.86698905,15,0.13333333333333333
random,FLShield,model_replacement,20,0.75,0.5312949900419365,0.888139947210597,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.85,0.6395767041130426,0.9476322080405041,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.05,0.008881219432873136,0.23613589351256675,0.5379946963349523,0.5151582567684578,0.5608311359014468,0.5362651341560865,0.5131764583074626,0.5593538100047103,-0.0017295621788657955,-0.005228422185625778,0.0017692978278941868,0.00042920529838499997,-0.0005334659630895982,0.0013918765598595981,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2090.2268019,2024.8178026851062,2155.6358011148936,4304.54743695,4201.117394642642,4407.977479257358,2103.497056,2307.1211226,4253.45247,4648.0612269,13,0.07692307692307693
random,FLTrust,model_replacement,20,0.15,0.05236779195949584,0.36042329588695743,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.1,0.027865893984153206,0.30103820641179335,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.1,0.027865893984153206,0.30103820641179335,0.5332105083962266,0.4981601707125924,0.5682608460798608,0.5329622813349931,0.5091141725696936,0.5568103901002927,-0.0002482270612334331,-0.02333625639160944,0.022839802269142576,0.010427067225774998,0.0059076974976767956,0.0149464369538732,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2073.5153052999995,1998.2723823828628,2148.758228217136,4319.9070967,4179.641291113137,4460.172902286862,2084.6878525,2319.5820790000002,4316.921673999999,4768.41562945,4,0.5
random,FedAvg,model_replacement,20,0.0,0.0,0.16113012549493322,1.0,0.8388698745050667,1.0,0.1,0.027865893984153206,0.30103820641179335,0.0,0.0,0.16113012549493322,0.2,0.0806563532712,0.41602172202575993,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.45124686295996747,0.4246039130241623,0.47788981289577265,0.5420591595272798,0.5193777067511411,0.5647406123034184,0.09081229656731235,0.045145487785153336,0.13647910534947136,0.285794529005415,0.2607594773617922,0.3108295806490378,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2111.93483685,2030.8477242724034,2193.0219494275966,4347.053839099999,4211.672269585877,4482.435408614121,2121.5979405,2380.94270485,4408.092218,4759.89035975,0,
random,FedVal,model_replacement,20,0.0,0.0,0.16113012549493322,0.65,0.43285051021946463,0.8188104521320554,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.47708040321915196,0.44101645670448236,0.5131443497338215,0.5420591595272798,0.5193777067511411,0.5647406123034184,0.06497875630812786,0.011837232232342905,0.11812028038391281,0.072051826483055,0.0542562332737757,0.0898474196923343,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2042.8561209999996,1977.3949432675345,2108.3172987324647,4262.554431399999,4153.754101880123,4371.354760919875,2035.257301,2212.8609370500003,4276.5890565,4604.8782654,0,
random,FoundationFL,model_replacement,20,0.0,0.0,0.16113012549493322,0.85,0.6395767041130426,0.9476322080405041,0.7,0.4810232237710206,0.854524726031006,0.0,0.0,0.16113012549493322,0.75,0.5312949900419365,0.888139947210597,0.0,0.0,0.16113012549493322,0.05,0.008881219432873136,0.23613589351256675,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.44315590929646687,0.3979249059182296,0.48838691267470413,0.5420591595272798,0.5193777067511411,0.5647406123034184,0.0989032502308129,0.03805913628906968,0.1597473641725561,0.40477496036935995,0.31308476980369326,0.49646515093502663,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2104.29850435,2034.9186558034198,2173.67835289658,4338.711847650001,4215.984454403213,4461.439240896789,2080.6807685000003,2342.15130895,4322.1717995,4808.697370999999,0,
random,Krum,model_replacement,20,0.65,0.43285051021946463,0.8188104521320554,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.65,0.43285051021946463,0.8188104521320554,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.05,0.008881219432873136,0.23613589351256675,0.5539492653264448,0.5274080749020945,0.5804904557507952,0.5474204805767202,0.5233069536670713,0.5715340074863692,-0.006528784749724514,-0.019398576587905808,0.0063410070884567776,0.001041992545415,-0.00015509150567844833,0.0022390765965084485,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2072.01241285,2011.9300015813408,2132.0948241186597,4290.75291355,4190.6736775746285,4390.832149525371,2082.3937715,2195.3263613,4273.8616595,4667.6647642,13,0.07692307692307693
random,CoordinateMedian,none,20,0.8,0.5839782779742401,0.9193436467288,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.8,0.5839782779742401,0.9193436467288,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.05,0.008881219432873136,0.23613589351256675,0.5337945806734574,0.5096408458057605,0.5579483155411543,0.5319863411107696,0.508167498226553,0.5558051839949861,-0.0018082395626878634,-0.004816341928326209,0.0011998628029504825,0.00042518343676249996,-0.00046758806855027636,0.0013179549420752764,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2079.4125614500003,2019.5878081238516,2139.237314776149,4312.0840084,4204.34781733607,4419.82019946393,2107.789192,2238.9866954,4306.9600145,4637.5666395,16,0.0625
random,FLShield,none,20,0.55,0.3420820083075997,0.7418049791429071,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.4,0.21880396741419272,0.613422057684794,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.5617989713102572,0.5227469367619983,0.6008510058585161,0.543132251321453,0.5185534667138346,0.5677110359290715,-0.018666719988804082,-0.038382282374509746,0.0010488423969015823,0.0026928213475850005,0.0008467942058729236,0.0045388484892970775,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2086.9183750999996,2023.6849545898044,2150.1517956101948,4314.86773475,4192.176253733338,4437.5592157666615,2090.406941,2258.6259307000005,4297.479937,4713.112722899999,6,0.0
random,FLTrust,none,20,0.25,0.11186005278940309,0.4687050099580636,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.3,0.14547527396899385,0.5189767762289793,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.15,0.05236779195949584,0.36042329588695743,0.5323327601648081,0.4965565427957676,0.5681089775338486,0.526145408241821,0.5033844535842995,0.5489063628993425,-0.006187351922987064,-0.029558336630497437,0.01718363278452331,0.0075954730995425,0.002094981241814135,0.013095964957270865,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2119.5615661499996,2054.1748386159766,2184.9482936840227,4339.723728849999,4227.135626008203,4452.311831691795,2106.1673025,2329.92361615,4376.362937,4658.673487200001,7,0.42857142857142855
